[WI-0][TI-4001] - [INFO] 2024-05-07 17:09:42.899 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4001, processInstanceId=1100, status=6, startTime=1715062823450, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/4/1100/4001.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_4/1100/4001, endTime=1715062841196, processId=103, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072682693)
[WI-0][TI-4001] - [INFO] 2024-05-07 17:09:42.902 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4001, processInstanceId=1100, status=6, startTime=1715062823450, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/4/1100/4001.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_4/1100/4001, endTime=1715062841196, processId=103, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072982899)
[WI-0][TI-4011] - [INFO] 2024-05-07 17:09:57.962 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4011, processInstanceId=1111, status=6, startTime=1715071788510, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1111/4011.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1111/4011, endTime=1715071794923, processId=2579, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072697716)
[WI-0][TI-4011] - [INFO] 2024-05-07 17:09:57.966 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4011, processInstanceId=1111, status=6, startTime=1715071788510, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1111/4011.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1111/4011, endTime=1715071794923, processId=2579, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072997962)
[WI-0][TI-4010] - [INFO] 2024-05-07 17:09:58.968 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4010, processInstanceId=1109, status=6, startTime=1715071788454, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1109/4010.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1109/4010, endTime=1715071795899, processId=2580, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072698834)
[WI-0][TI-4010] - [INFO] 2024-05-07 17:09:58.981 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4010, processInstanceId=1109, status=6, startTime=1715071788454, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1109/4010.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1109/4010, endTime=1715071795899, processId=2580, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072998968)
[WI-0][TI-4012] - [INFO] 2024-05-07 17:09:58.982 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4012, processInstanceId=1110, status=6, startTime=1715071788543, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1110/4012.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1110/4012, endTime=1715071795901, processId=2578, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072698834)
[WI-0][TI-4012] - [INFO] 2024-05-07 17:09:58.989 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4012, processInstanceId=1110, status=6, startTime=1715071788543, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1110/4012.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1110/4012, endTime=1715071795901, processId=2578, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072998968)
[WI-0][TI-4009] - [INFO] 2024-05-07 17:10:52.153 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4009, processInstanceId=1108, status=6, startTime=1715069145325, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/9/1108/4009.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_9/1108/4009, endTime=1715069146351, processId=2003, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072752009)
[WI-0][TI-4009] - [INFO] 2024-05-07 17:10:52.158 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4009, processInstanceId=1108, status=6, startTime=1715069145325, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/9/1108/4009.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_9/1108/4009, endTime=1715069146351, processId=2003, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073052153)
[WI-0][TI-4002] - [INFO] 2024-05-07 17:11:41.329 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4002, processInstanceId=1101, status=6, startTime=1715067992936, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1101/4002.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1101/4002, endTime=1715067993966, processId=1302, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072801158)
[WI-0][TI-4002] - [INFO] 2024-05-07 17:11:41.334 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4002, processInstanceId=1101, status=6, startTime=1715067992936, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1101/4002.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1101/4002, endTime=1715067993966, processId=1302, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073101329)
[WI-0][TI-4007] - [INFO] 2024-05-07 17:11:49.348 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4007, processInstanceId=1106, status=6, startTime=1715068587362, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/7/1106/4007.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_7/1106/4007, endTime=1715068602485, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072809176)
[WI-0][TI-4007] - [INFO] 2024-05-07 17:11:49.352 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4007, processInstanceId=1106, status=6, startTime=1715068587362, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/7/1106/4007.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_7/1106/4007, endTime=1715068602485, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073109348)
[WI-0][TI-4008] - [INFO] 2024-05-07 17:12:47.493 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4008, processInstanceId=1107, status=6, startTime=1715068952617, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/8/1107/4008.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_8/1107/4008, endTime=1715068959721, processId=1874, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072866704)
[WI-0][TI-4008] - [INFO] 2024-05-07 17:12:47.502 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4008, processInstanceId=1107, status=6, startTime=1715068952617, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/8/1107/4008.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_8/1107/4008, endTime=1715068959721, processId=1874, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073167493)
[WI-0][TI-4004] - [INFO] 2024-05-07 17:12:48.508 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4004, processInstanceId=1103, status=6, startTime=1715068353487, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1103/4004.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1103/4004, endTime=1715068358543, processId=1525, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072867708)
[WI-0][TI-4004] - [INFO] 2024-05-07 17:12:48.511 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4004, processInstanceId=1103, status=6, startTime=1715068353487, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1103/4004.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1103/4004, endTime=1715068358543, processId=1525, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073168508)
[WI-0][TI-4005] - [INFO] 2024-05-07 17:12:48.511 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4005, processInstanceId=1105, status=6, startTime=1715068353531, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1105/4005.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1105/4005, endTime=1715068358639, processId=1543, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072867708)
[WI-0][TI-4005] - [INFO] 2024-05-07 17:12:48.514 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4005, processInstanceId=1105, status=6, startTime=1715068353531, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1105/4005.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1105/4005, endTime=1715068358639, processId=1543, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073168508)
[WI-0][TI-4006] - [INFO] 2024-05-07 17:12:48.514 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4006, processInstanceId=1104, status=6, startTime=1715068353515, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1104/4006.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1104/4006, endTime=1715068358655, processId=1537, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072867708)
[WI-0][TI-4006] - [INFO] 2024-05-07 17:12:48.516 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4006, processInstanceId=1104, status=6, startTime=1715068353515, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1104/4006.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1104/4006, endTime=1715068358655, processId=1537, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073168508)
[WI-0][TI-0] - [INFO] 2024-05-07 17:12:48.825 +0800 o.a.d.s.w.c.WorkerServerLoadProtection:[48] - Worker OverLoad: the TotalCpuUsedPercentage: 0.7471264367816092 is over then the MaxCpuUsagePercentageThresholds 0.7
[WI-0][TI-4003] - [INFO] 2024-05-07 17:13:40.674 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4003, processInstanceId=1102, status=6, startTime=1715068080418, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1102/4003.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1102/4003, endTime=1715068108888, processId=1336, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072919741)
[WI-0][TI-4003] - [INFO] 2024-05-07 17:13:40.678 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4003, processInstanceId=1102, status=6, startTime=1715068080418, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1102/4003.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1102/4003, endTime=1715068108888, processId=1336, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073220674)
[WI-0][TI-4001] - [INFO] 2024-05-07 17:14:42.917 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4001, processInstanceId=1100, status=6, startTime=1715062823450, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/4/1100/4001.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_4/1100/4001, endTime=1715062841196, processId=103, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072982899)
[WI-0][TI-4001] - [INFO] 2024-05-07 17:14:42.927 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4001, processInstanceId=1100, status=6, startTime=1715062823450, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/4/1100/4001.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_4/1100/4001, endTime=1715062841196, processId=103, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073282917)
[WI-0][TI-4011] - [INFO] 2024-05-07 17:14:58.962 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4011, processInstanceId=1111, status=6, startTime=1715071788510, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1111/4011.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1111/4011, endTime=1715071794923, processId=2579, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072997962)
[WI-0][TI-4011] - [INFO] 2024-05-07 17:14:58.966 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4011, processInstanceId=1111, status=6, startTime=1715071788510, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1111/4011.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1111/4011, endTime=1715071794923, processId=2579, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073298962)
[WI-0][TI-4010] - [INFO] 2024-05-07 17:14:59.967 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4010, processInstanceId=1109, status=6, startTime=1715071788454, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1109/4010.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1109/4010, endTime=1715071795899, processId=2580, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072998968)
[WI-0][TI-4010] - [INFO] 2024-05-07 17:14:59.970 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4010, processInstanceId=1109, status=6, startTime=1715071788454, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1109/4010.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1109/4010, endTime=1715071795899, processId=2580, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073299967)
[WI-0][TI-4012] - [INFO] 2024-05-07 17:14:59.970 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4012, processInstanceId=1110, status=6, startTime=1715071788543, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1110/4012.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1110/4012, endTime=1715071795901, processId=2578, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072998968)
[WI-0][TI-4012] - [INFO] 2024-05-07 17:14:59.974 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4012, processInstanceId=1110, status=6, startTime=1715071788543, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/10/1110/4012.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_10/1110/4012, endTime=1715071795901, processId=2578, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073299967)
[WI-0][TI-4009] - [INFO] 2024-05-07 17:15:53.140 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4009, processInstanceId=1108, status=6, startTime=1715069145325, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/9/1108/4009.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_9/1108/4009, endTime=1715069146351, processId=2003, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073052153)
[WI-0][TI-4009] - [INFO] 2024-05-07 17:15:53.146 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4009, processInstanceId=1108, status=6, startTime=1715069145325, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/9/1108/4009.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_9/1108/4009, endTime=1715069146351, processId=2003, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073353140)
[WI-0][TI-4002] - [INFO] 2024-05-07 17:16:41.766 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4002, processInstanceId=1101, status=6, startTime=1715067992936, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1101/4002.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1101/4002, endTime=1715067993966, processId=1302, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073101329)
[WI-0][TI-4002] - [INFO] 2024-05-07 17:16:41.777 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4002, processInstanceId=1101, status=6, startTime=1715067992936, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1101/4002.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1101/4002, endTime=1715067993966, processId=1302, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073401766)
[WI-0][TI-4007] - [INFO] 2024-05-07 17:16:49.792 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4007, processInstanceId=1106, status=6, startTime=1715068587362, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/7/1106/4007.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_7/1106/4007, endTime=1715068602485, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073109348)
[WI-0][TI-4007] - [INFO] 2024-05-07 17:16:49.807 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4007, processInstanceId=1106, status=6, startTime=1715068587362, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/7/1106/4007.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_7/1106/4007, endTime=1715068602485, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073409792)
[WI-0][TI-4008] - [INFO] 2024-05-07 17:17:47.956 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4008, processInstanceId=1107, status=6, startTime=1715068952617, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/8/1107/4008.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_8/1107/4008, endTime=1715068959721, processId=1874, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073167493)
[WI-0][TI-4008] - [INFO] 2024-05-07 17:17:47.959 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4008, processInstanceId=1107, status=6, startTime=1715068952617, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/8/1107/4008.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_8/1107/4008, endTime=1715068959721, processId=1874, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073467956)
[WI-0][TI-4004] - [INFO] 2024-05-07 17:17:48.960 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4004, processInstanceId=1103, status=6, startTime=1715068353487, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1103/4004.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1103/4004, endTime=1715068358543, processId=1525, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073168508)
[WI-0][TI-4004] - [INFO] 2024-05-07 17:17:48.963 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4004, processInstanceId=1103, status=6, startTime=1715068353487, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1103/4004.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1103/4004, endTime=1715068358543, processId=1525, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073468960)
[WI-0][TI-4005] - [INFO] 2024-05-07 17:17:48.963 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4005, processInstanceId=1105, status=6, startTime=1715068353531, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1105/4005.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1105/4005, endTime=1715068358639, processId=1543, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073168508)
[WI-0][TI-4005] - [INFO] 2024-05-07 17:17:48.970 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4005, processInstanceId=1105, status=6, startTime=1715068353531, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1105/4005.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1105/4005, endTime=1715068358639, processId=1543, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073468960)
[WI-0][TI-4006] - [INFO] 2024-05-07 17:17:48.970 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4006, processInstanceId=1104, status=6, startTime=1715068353515, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1104/4006.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1104/4006, endTime=1715068358655, processId=1537, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715073168508)
